name,email,phone,cpf,age
Ana Silva,ana.silva@example.com,5568936131655,02352798388,20
Bruno Oliveira,bruno.oliveira@example.com,5596978271703,73617242642,22
Carla Souza,carla.souza@example.com,5571994654782,83652719239,19
Diego Costa,diego.costa@example.com,5593998919769,56895918663,21
Elisa Pereira,elisa.pereira@example.com,5526937065912,42249914460,23
Fábio Martins,fabio.martins@example.com,5539923809798,50618844260,20
Gabriela Almeida,gabriela.almeida@example.com,5537973567630,51628343354,22
Henrique Santos,henrique.santos@example.com,5585961613841,10506011577,24
Isabela Ribeiro,isabela.ribeiro@example.com,5531936886596,65342656052,19
João Monteiro,joao.monteiro@example.com,5523993408160,58333964508,25
