name,email,phone,cpf,age
Student 1,student1@example.com,5578970820272,31722266112,30
Student 2,student2@example.com,5574988517184,63440709353,23
Student 3,student3@example.com,5597912328530,25189614298,19
Student 4,student4@example.com,5559968229371,34009702559,29
Student 5,student5@example.com,5555975239630,82740503202,21
Student 6,student6@example.com,5533929053943,65486105983,18
Student 7,student7@example.com,5551948807993,79565528007,28
Student 8,student8@example.com,5589979098575,47927685600,18
Student 9,student9@example.com,5582981709315,66737264824,29
Student 10,student10@example.com,5569988861474,60964457997,25
Student 11,student11@example.com,5526980346337,52270622421,21
Student 12,student12@example.com,5529944350662,38125295640,29
Student 13,student13@example.com,5538943968739,65806780112,27
Student 14,student14@example.com,5550989686893,43800922401,30
Student 15,student15@example.com,5559943881828,65303064042,23
Student 16,student16@example.com,5529916858788,83878724233,30
Student 17,student17@example.com,5592919868264,46789797351,20
Student 18,student18@example.com,5539976001067,29338512371,25
Student 19,student19@example.com,5585968052605,86106237778,18
Student 20,student20@example.com,5557925542234,71156979650,22
Student 21,student21@example.com,5558969629491,39085082234,29
Student 22,student22@example.com,5558980561968,11723114200,20
Student 23,student23@example.com,5567969744894,01609887646,20
Student 24,student24@example.com,5511971345534,13332161490,20
Student 25,student25@example.com,5589953996546,51121362435,21
Student 26,student26@example.com,5536966401511,65411689112,29
Student 27,student27@example.com,5545925618646,66339072305,29
Student 28,student28@example.com,5581985725290,64332692144,28
Student 29,student29@example.com,5588988668146,15710011746,23
Student 30,student30@example.com,5563978356869,61822894069,25
Student 31,student31@example.com,5534917699127,56466015173,19
Student 32,student32@example.com,5518933782047,45842231220,19
Student 33,student33@example.com,5534928059724,88696482905,20
Student 34,student34@example.com,5553949972849,88632965379,21
Student 35,student35@example.com,5572965535932,29442044249,25
Student 36,student36@example.com,5594948245976,30632331020,30
Student 37,student37@example.com,5530953680395,80943024706,20
Student 38,student38@example.com,5523985365186,03341403582,25
Student 39,student39@example.com,5598968378030,64233184256,26
Student 40,student40@example.com,5553994462954,74249083594,22
Student 41,student41@example.com,5559968166609,55069179292,29
Student 42,student42@example.com,5524934015039,64677089892,25
Student 43,student43@example.com,5530930353296,07198114148,21
Student 44,student44@example.com,5551973721043,81742435181,19
Student 45,student45@example.com,5558958073015,85264460531,18
Student 46,student46@example.com,5589914324390,34225949060,21
Student 47,student47@example.com,5517942479349,46527492600,24
Student 48,student48@example.com,5546987670280,54592952464,19
Student 49,student49@example.com,5585950639359,87839960014,20
Student 50,student50@example.com,5565965520832,31674163606,22
Student 51,student51@example.com,5596935052145,50092674542,18
Student 52,student52@example.com,5555925147316,13252083027,24
Student 53,student53@example.com,5536934278482,37380429469,23
Student 54,student54@example.com,5576986992933,67848993264,29
Student 55,student55@example.com,5529937126008,67800977307,23
Student 56,student56@example.com,5536955583473,62281820211,28
Student 57,student57@example.com,5539994520118,67971182554,30
Student 58,student58@example.com,5599935616896,53173623002,20
Student 59,student59@example.com,5560938987556,04826301243,22
Student 60,student60@example.com,5518912348652,32610223536,22
Student 61,student61@example.com,5577911507108,79278054011,22
Student 62,student62@example.com,5516911245639,10393155269,27
Student 63,student63@example.com,5594917701847,78069533536,19
Student 64,student64@example.com,5538940953801,67309256204,23
Student 65,student65@example.com,5514912029070,73661246720,27
Student 66,student66@example.com,5578941695326,92734431173,24
Student 67,student67@example.com,5535929088425,23957003202,21
Student 68,student68@example.com,5542938889709,71969999322,21
Student 69,student69@example.com,5593942938673,89568621334,29
Student 70,student70@example.com,5571989097488,17862700139,21
Student 71,student71@example.com,5597986172375,38426123899,24
Student 72,student72@example.com,5590935177911,48648045916,23
Student 73,student73@example.com,5540952125237,71625919301,19
Student 74,student74@example.com,5535976003431,17110774104,27
Student 75,student75@example.com,5524940579183,29904909652,29
Student 76,student76@example.com,5561950571213,89057775700,26
Student 77,student77@example.com,5514991146076,50989575918,27
Student 78,student78@example.com,5566954941922,83595827007,21
Student 79,student79@example.com,5565960575568,99528207200,23
Student 80,student80@example.com,5538972900273,85739405904,23
Student 81,student81@example.com,5511925338628,17729415062,26
Student 82,student82@example.com,5557950771088,66657754884,24
Student 83,student83@example.com,5556969703206,03803022924,22
Student 84,student84@example.com,5545965031792,89837905808,18
Student 85,student85@example.com,5566980291927,51052214274,26
Student 86,student86@example.com,5538974162813,04278719213,29
Student 87,student87@example.com,5562932640191,50134100964,19
Student 88,student88@example.com,5535963366641,09917159509,24
Student 89,student89@example.com,5524952272304,95893570910,30
Student 90,student90@example.com,5527933629508,20275137791,18
Student 91,student91@example.com,5565913639265,77083940070,30
Student 92,student92@example.com,5583918321764,11647818206,18
Student 93,student93@example.com,5568990818083,04610524589,23
Student 94,student94@example.com,5577963041780,73520077922,23
Student 95,student95@example.com,5519935285179,30119435322,25
Student 96,student96@example.com,5586920541855,45297003806,26
Student 97,student97@example.com,5558973696826,02000705502,30
Student 98,student98@example.com,5581945756301,38400532341,28
Student 99,student99@example.com,5533963100791,62962389082,20
Student 100,student100@example.com,5555927789883,51542743931,24
Student 101,student101@example.com,5545953304591,90232208700,23
Student 102,student102@example.com,5596910179335,86668362370,27
Student 103,student103@example.com,5590912085238,59446485380,22
Student 104,student104@example.com,5590998825236,36633930895,21
Student 105,student105@example.com,5559998362273,18919764514,20
Student 106,student106@example.com,5513921389520,62266391488,20
Student 107,student107@example.com,5581997442667,38644881418,30
Student 108,student108@example.com,5517954684125,41897193580,28
Student 109,student109@example.com,5594962250721,93627678133,26
Student 110,student110@example.com,5570951203485,52610954093,25
Student 111,student111@example.com,5567919949589,99201368321,29
Student 112,student112@example.com,5565990388046,93893897470,18
Student 113,student113@example.com,5543991417877,46216174517,24
Student 114,student114@example.com,5572947074528,61129280861,23
Student 115,student115@example.com,5557947734343,51886813159,23
Student 116,student116@example.com,5597928153061,69651649992,24
Student 117,student117@example.com,5552931881681,65351621096,18
Student 118,student118@example.com,5566943420376,04873489903,20
Student 119,student119@example.com,5587958764525,72852944383,18
Student 120,student120@example.com,5556926856493,09726174007,26
Student 121,student121@example.com,5595939983637,56307111640,24
Student 122,student122@example.com,5534964128661,14536957618,30
Student 123,student123@example.com,5522959211370,94622624117,27
Student 124,student124@example.com,5582950701557,93546327691,18
Student 125,student125@example.com,5586987938268,37628203922,23
Student 126,student126@example.com,5517998351023,71942516630,26
Student 127,student127@example.com,5539934895029,21590114876,18
Student 128,student128@example.com,5577939152546,54905667283,30
Student 129,student129@example.com,5590978033616,75317585554,20
Student 130,student130@example.com,5523916533502,82114486028,25
Student 131,student131@example.com,5582921339854,46181407049,26
Student 132,student132@example.com,5582959109283,94477364679,25
Student 133,student133@example.com,5564931709793,00000598208,28
Student 134,student134@example.com,5527923831538,10615224660,27
Student 135,student135@example.com,5514913119835,94133492749,25
Student 136,student136@example.com,5590972495904,45043084367,30
Student 137,student137@example.com,5587912650857,49716705808,28
Student 138,student138@example.com,5596912675724,30194750663,23
Student 139,student139@example.com,5513955318105,38700929808,19
Student 140,student140@example.com,5524931658979,60117390089,28
Student 141,student141@example.com,5592952493146,35269722305,28
Student 142,student142@example.com,5545988506048,29199170213,30
Student 143,student143@example.com,5589951037796,99486120943,26
Student 144,student144@example.com,5586991990913,33529451959,24
Student 145,student145@example.com,5571988519523,71923091255,26
Student 146,student146@example.com,5589942344022,50045857334,28
Student 147,student147@example.com,5520962508572,03649396726,29
Student 148,student148@example.com,5532971591707,23094255671,24
Student 149,student149@example.com,5523994815478,65580332831,21
Student 150,student150@example.com,5517910242354,05175929593,30
Student 151,student151@example.com,5575926949644,94415197400,27
Student 152,student152@example.com,5582980916511,10490285627,25
Student 153,student153@example.com,5563956501173,38886559437,25
Student 154,student154@example.com,5529957799629,72209644631,24
Student 155,student155@example.com,5511922444019,25926650569,22
Student 156,student156@example.com,5528927085754,86489642700,18
Student 157,student157@example.com,5596936277368,56588922523,27
Student 158,student158@example.com,5563923690815,24998453335,28
Student 159,student159@example.com,5530935402056,31575334526,30
Student 160,student160@example.com,5592928052908,37842422435,24
Student 161,student161@example.com,5558927132669,86856148216,23
Student 162,student162@example.com,5517939456338,81024552683,29
Student 163,student163@example.com,5534952351409,24532921708,26
Student 164,student164@example.com,5517943624581,48091370903,19
Student 165,student165@example.com,5517955896242,28280803157,29
Student 166,student166@example.com,5526966208175,37624896109,28
Student 167,student167@example.com,5535968698721,42605152170,26
Student 168,student168@example.com,5592922241697,43753973815,29
Student 169,student169@example.com,5538947389975,01476075743,28
Student 170,student170@example.com,5570913723170,46938163375,30
Student 171,student171@example.com,5514956507801,66930756300,27
Student 172,student172@example.com,5564981631332,73563269572,20
Student 173,student173@example.com,5564943362805,00416441823,21
Student 174,student174@example.com,5573968804526,91827280549,24
Student 175,student175@example.com,5583933112014,13449190571,23
Student 176,student176@example.com,5541947349289,26361702359,19
Student 177,student177@example.com,5557912830555,14195577268,20
Student 178,student178@example.com,5527944886455,32973439310,29
Student 179,student179@example.com,5592980338545,73345153319,20
Student 180,student180@example.com,5584981452364,06579694432,21
Student 181,student181@example.com,5582962762362,94521509398,20
Student 182,student182@example.com,5581914460035,30502602708,24
Student 183,student183@example.com,5598972442506,17746390250,21
Student 184,student184@example.com,5594976167240,39509079634,30
Student 185,student185@example.com,5515940182304,32837570117,27
Student 186,student186@example.com,5542962428016,04158442311,29
Student 187,student187@example.com,5511991905765,37977018969,29
Student 188,student188@example.com,5546997543925,49353528097,24
Student 189,student189@example.com,5552932863971,97632538534,27
Student 190,student190@example.com,5524959360453,31341698785,27
Student 191,student191@example.com,5557926955776,61750556081,18
Student 192,student192@example.com,5582997382893,99701843428,28
Student 193,student193@example.com,5541956140659,74165570540,22
Student 194,student194@example.com,5588985192754,58523485201,27
Student 195,student195@example.com,5559991068840,56576838468,28
Student 196,student196@example.com,5549965966177,66752216126,20
Student 197,student197@example.com,5516946287585,41874160309,18
Student 198,student198@example.com,5585990971148,79691757168,19
Student 199,student199@example.com,5577982915427,84381040619,20
Student 200,student200@example.com,5594946408643,36645555970,23
Student 201,student201@example.com,5548956045137,17251044900,18
Student 202,student202@example.com,5542944158950,72727198698,27
Student 203,student203@example.com,5561971957053,69164242498,20
Student 204,student204@example.com,5521954109040,82926268165,21
Student 205,student205@example.com,5518963477647,72353950523,30
Student 206,student206@example.com,5540962386380,13816007864,25
Student 207,student207@example.com,5545997031754,80253965764,25
Student 208,student208@example.com,5537996579785,66190148107,21
Student 209,student209@example.com,5538936060881,65100197790,27
Student 210,student210@example.com,5522997109215,69748098087,20
Student 211,student211@example.com,5595981916849,03932406222,27
Student 212,student212@example.com,5519943110607,55104248852,21
Student 213,student213@example.com,5559929043383,61286158729,19
Student 214,student214@example.com,5548965967671,40877763526,26
Student 215,student215@example.com,5547992866028,03360274350,22
Student 216,student216@example.com,5521926335339,20524987106,30
Student 217,student217@example.com,5566958461941,49535433270,18
Student 218,student218@example.com,5584958921876,83802694899,21
Student 219,student219@example.com,5523927697847,82768683205,23
Student 220,student220@example.com,5570986486969,12054548103,24
Student 221,student221@example.com,5564963504166,54852342164,24
Student 222,student222@example.com,5583915292469,63048776680,23
Student 223,student223@example.com,5515988424850,44221012935,20
Student 224,student224@example.com,5549946406541,41682808378,21
Student 225,student225@example.com,5511975353934,12941210571,24
Student 226,student226@example.com,5555943299742,31046548328,24
Student 227,student227@example.com,5595969402581,92685737090,25
Student 228,student228@example.com,5588929859308,44193758923,20
Student 229,student229@example.com,5557990142724,60425954234,29
Student 230,student230@example.com,5516971716011,55452183604,29
Student 231,student231@example.com,5557992241098,05021589059,18
Student 232,student232@example.com,5598992523286,32481690877,29
Student 233,student233@example.com,5588992222068,24354448696,29
Student 234,student234@example.com,5544950619640,86420037581,29
Student 235,student235@example.com,5535917466140,91221811800,27
Student 236,student236@example.com,5527959884650,86496021775,26
Student 237,student237@example.com,5523926212202,53008719236,30
Student 238,student238@example.com,5546925280280,10126308705,30
Student 239,student239@example.com,5525994553020,28085273225,22
Student 240,student240@example.com,5583957811374,95724939738,23
Student 241,student241@example.com,5538915403007,11827987723,26
Student 242,student242@example.com,5589943571061,36469712150,24
Student 243,student243@example.com,5518934854025,42147611387,24
Student 244,student244@example.com,5527931976088,68440995091,21
Student 245,student245@example.com,5591965955267,96202294019,20
Student 246,student246@example.com,5556916178720,18363156191,18
Student 247,student247@example.com,5572960108872,35866145197,22
Student 248,student248@example.com,5581997350969,82904623795,25
Student 249,student249@example.com,5565929092139,87719424751,28
Student 250,student250@example.com,5526939747053,10187613907,25
Student 251,student251@example.com,5527977051468,13475472406,30
Student 252,student252@example.com,5514987881605,34235953451,29
Student 253,student253@example.com,5586917229722,47609713945,21
Student 254,student254@example.com,5598998123664,39920122718,18
Student 255,student255@example.com,5512949693330,00610043080,18
Student 256,student256@example.com,5578960444383,39631428559,19
Student 257,student257@example.com,5559968256275,46974064004,24
Student 258,student258@example.com,5532948349024,65794511060,23
Student 259,student259@example.com,5526951920553,49693539052,20
Student 260,student260@example.com,5576953570234,72911566297,21
Student 261,student261@example.com,5566923716012,83263432184,24
Student 262,student262@example.com,5559981509201,45893792602,24
Student 263,student263@example.com,5593966689145,45069248278,25
Student 264,student264@example.com,5569980192487,84805002808,22
Student 265,student265@example.com,5532955532719,08142566788,26
Student 266,student266@example.com,5559950192333,18258422995,30
Student 267,student267@example.com,5512943664525,30635799634,22
Student 268,student268@example.com,5585971959184,16019492605,19
